State,n_femur,mean_femur_Pb,pct_chronic,vet_suicide_rate_2023,male_suicide_rate,overdose,veteran_pct,rural_pct,poverty,white_pct,median_age,mv_deaths,firearm_rate,homicide
Alabama,2,45.805,0.5,35.7,17.60483870967742,20.153734531540476,7.5442920733739465,0.712181122280597,18.415098657648752,63.97358208955223,41.1179104477612,27.661800988089553,87.76923076923077,12.50733718265614
Alaska,3,15.42,0.6666666666666666,35.2,36.94375,24.392392976,9.367548364668549,0.8012690534233333,12.073765268010582,45.477999999999994,38.1,15.48261455435,59.142857142857146,13.0135039465125
Arizona,4,24.5975,1.0,46.7,28.873333333333335,30.233496735142857,9.79192418817109,0.4257409728466667,17.594226071966446,49.05466666666667,41.38666666666666,23.31034910233333,431.5,7.235539312835714
Arkansas,1,19.18,1.0,51.5,22.174647887323946,18.807128223933333,8.013367327555676,0.7233167505346153,18.052226631412438,73.89423076923077,42.034615384615385,25.905440536723685,46.02985074626866,11.79227479332619
California,120,14.211500000000001,0.30833333333333335,26.3,15.930357142857144,26.006106908351853,6.525222427215974,0.3151747242051724,13.179234437680085,51.5551724137931,40.12586206896552,15.536671990848214,310.8269230769231,5.398693374010205
Colorado,1,0.97,0.0,48.4,28.43116883116883,27.047355344451162,8.590328078576897,0.6736251216978724,12.63004080419398,70.70595744680851,44.2904255319149,15.981432322033928,121.47272727272727,5.052376582665217
Florida,19,10.699473684210526,0.2631578947368421,38.6,19.253030303030304,29.404389504080644,9.673807891880054,0.41763405056417907,14.920962634366104,65.74656716417911,44.25970149253732,21.606087106552238,239.98360655737704,6.324256412367857
Georgia,1,1.17,0.0,30.0,17.693283582089553,21.001160913790322,7.824116498936011,0.6811939553295597,17.724564444327942,60.82893081761006,40.19056603773585,22.68142433866871,72.87704918032787,9.158040006385542
Idaho,20,32.417500000000004,0.65,52.1,24.71578947368421,19.276694884583332,8.907867605739451,0.7043094953931818,12.485415853307677,80.27681818181817,40.38636363636363,20.82372121514054,43.625,2.748174292511111
Illinois,1,4.27,0.0,25.6,16.574444444444445,22.73406989961833,7.802171242803648,0.5925105344156862,12.640369670234925,85.60049019607843,42.0843137254902,16.866717133364894,124.15873015873017,6.312940013593549
Iowa,1,6.95,0.0,36.8,18.11627906976744,14.513950527654545,7.612942434101078,0.6722920440232323,10.665200301783333,89.20343434343434,41.653535353535354,15.353886945713253,33.26315789473684,3.9601788990461535
Kansas,7,13.254285714285714,0.42857142857142855,43.4,21.333333333333332,17.345941281604166,7.732113545628651,0.7473858562304762,11.736458007826878,82.67371428571428,41.03619047619048,22.63048153589048,56.44444444444444,6.036019222046667
Kentucky,16,3.749375,0.125,39.3,19.454545454545453,45.107721454166665,6.846547870329845,0.7398677105391667,19.154548907398596,90.60408333333334,40.97166666666667,23.859429651526497,41.70652173913044,6.569432304059459
Maryland,1,3.38,0.0,17.6,12.279166666666667,44.261395658333335,8.434069861738523,0.3817507094166667,9.963311958511214,65.17708333333333,41.35,12.107970349012499,163.5,7.6987659618999995
Massachusetts,1,3.57,0.0,22.5,11.507142857142856,36.57366853976923,5.545337929730379,0.16620151357142857,9.74340478115052,74.05642857142857,42.535714285714285,6.904248706200001,105.91666666666667,2.49593450158
Minnesota,4,13.434999999999999,0.75,26.8,17.30958904109589,20.462392887892108,7.5163763147354254,0.6709061320620691,10.01804230373149,86.39252873563218,41.83218390804598,13.32860512934058,44.84313725490196,3.075597487557143
Montana,35,17.88657142857143,0.6,53.9,29.705000000000002,17.60009608997778,9.76638370476749,0.8104159438160714,13.866519283556432,84.2675,44.832142857142856,26.12482004812121,41.88,7.2519424241
Nebraska,15,24.522,0.6,31.7,16.732499999999998,10.583494632512501,7.9965133357697,0.7873259414354838,10.190142405539058,87.16462365591399,42.85591397849462,19.781582975211112,39.1578947368421,3.2699429449666666
Nevada,2,56.66,0.5,61.2,30.592307692307692,23.969424337444444,10.60138880880294,0.5754650931705882,11.855074972109977,68.06823529411766,43.588235294117645,19.698748483566668,270.4,4.8955956949
New Mexico,1,0.53,0.0,33.5,27.953571428571426,36.99912985395833,9.073370073868336,0.5232082569121213,19.80964948844674,38.61242424242425,41.58787878787879,22.236360499165382,89.61538461538461,10.25633743108182
North Dakota,16,15.78875,0.5,40.0,22.473684210526315,24.737075804,7.6045459198492615,0.8437176771471698,11.264753066699775,85.4333962264151,42.50377358490566,23.229372641042108,35.7,4.3114766159
Oregon,2,63.39,1.0,42.9,25.39090909090909,20.036334892118518,9.838711409706502,0.47794056620277775,13.009663423503738,78.01388888888889,43.65555555555555,17.006603758416126,92.16129032258064,4.057599443557895
Pennsylvania,18,12.226111111111111,0.4444444444444444,38.6,17.183076923076925,33.248329762767746,7.88546204319571,0.5290697986567164,11.735703927105828,86.27985074626865,43.549253731343285,12.823279628148438,134.4126984126984,4.296143971952174
South Carolina,1,8.95,0.0,33.2,15.88888888888889,30.814814971097558,8.144139866308107,0.5924038348630435,17.95761318173592,56.43478260869565,41.926086956521736,26.892562630630437,110.15217391304348,13.348810354335557
South Dakota,40,29.91175,0.675,39.1,22.733333333333334,12.12982600154,7.4938407950056,0.8212557157151515,15.301115737536232,78.03575757575757,40.31060606060606,28.94505432865862,31.307692307692307,15.33190457392
Utah,21,15.176666666666666,0.6190476190476191,59.5,24.1,19.963293455222225,5.806990274561731,0.5683364726379311,10.665627036752257,83.64793103448275,35.38275862068965,15.23936744495,97.28571428571429,3.195606933185714
Virginia,32,16.860937500000002,0.46875,25.0,18.216666666666665,30.95142771558077,9.31529409505391,0.5472962251721805,13.110156294513272,70.02894736842106,42.401503759398494,17.170194898751724,50.62264150943396,7.3337578091678575
Washington,16,4.99375,0.125,36.4,19.96388888888889,21.90788197595484,10.175599706431527,0.48468329338205124,12.371076675443405,73.00666666666666,42.58717948717949,12.930242145085714,128.1818181818182,3.5898787141652173
West Virginia,4,21.225,1.0,55.6,21.645283018867925,65.6226554363111,8.434851734996784,0.76469283216,17.37625081148769,92.63636363636364,44.71636363636364,19.266307895647056,33.765957446808514,6.781091254331579
Wisconsin,5,19.514,0.8,39.4,17.87142857142857,21.292961551354715,7.991473612295023,0.6473808081305555,10.381579620642992,87.6,44.10277777777778,14.174881019485715,55.220338983050844,3.328665090094445
Wyoming,38,29.248684210526317,0.6052631578947368,45.7,29.64761904761905,19.568208824125,9.461683134714763,0.5875202889739131,11.187820910441326,84.80869565217391,41.00869565217391,20.06862791207895,34.8421052631579,5.826975959233334
