county,percent_pre1950_housing,percent_pre1978_housing,population,total_n,total_percent,all_less5_total,capillary_greater5_total,venous_5to14_total,venous_greater15_total,venous_greater5_total,venous_greater5_percent,all_greater5_total,all_greater5_percent
Alcona,15.0,61.5,421,51,12.1,48,,0.0,0.0,0.0,0.0,,
Alger,25.7,64.1,438,66,15.1,62,,,0.0,,,,
Allegan,21.0,51.1,8514,1287,15.1,1239,40.0,,,8.0,0.6,48.0,3.7
Alpena,23.5,71.6,1700,258,15.2,256,,0.0,0.0,0.0,0.0,,
Antrim,17.1,52.6,1305,265,20.3,261,,0.0,0.0,0.0,0.0,,
Arenac,16.9,58.2,799,209,26.2,207,,,0.0,,,,
Baraga,30.9,71.7,483,155,32.1,154,0.0,,0.0,,,,
Barry,24.5,57.3,4017,456,11.4,439,,,,,,17.0,3.7
Bay,32.1,75.6,7065,1401,19.8,1340,43.0,,,18.0,1.3,61.0,4.4
Benzie,17.1,46.3,922,264,28.6,262,,,0.0,,,,
Berrien,26.5,72.2,11491,1697,14.8,1632,33.0,,,32.0,1.9,65.0,3.8
Branch,27.8,65.3,3306,563,17.0,551,,,,,,12.0,2.1
Calhoun,32.6,75.3,10075,1918,19.0,1830,25.0,54.0,9.0,63.0,3.3,88.0,4.6
Cass,20.3,59.9,3318,438,13.2,424,,,0.0,,,14.0,3.2
Charlevoix,19.8,54.4,1615,265,16.4,263,,,0.0,,,,
Cheboygan,23.0,53.5,1335,216,16.2,215,0.0,,0.0,,,,
Chippewa,22.0,58.6,2565,373,14.5,367,,,,,,6.0,1.6
Clare,12.0,58.8,1984,386,19.5,385,0.0,,0.0,,,,
Clinton,22.1,52.8,4835,644,13.3,634,,,,,,10.0,1.6
Crawford,10.5,55.6,629,93,14.8,92,0.0,,0.0,,,,
Delta,32.4,68.0,2242,401,17.9,382,12.0,7.0,0.0,7.0,1.7,19.0,4.7
Dickinson,36.4,71.7,1520,211,13.9,211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eaton,20.1,56.4,7374,995,13.5,964,16.0,15.0,0.0,15.0,1.5,31.0,3.1
Emmet,22.8,48.3,1969,320,16.3,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genesee,19.9,68.0,30963,6983,22.6,6823,77.0,74.0,9.0,83.0,1.2,160.0,2.3
Gladwin,12.0,49.5,1540,303,19.7,301,,,0.0,,,,
Gogebic,46.4,76.7,781,174,22.3,166,,,0.0,,,8.0,4.6
Grand Traverse,14.8,43.5,6117,1422,23.2,1393,20.0,9.0,0.0,9.0,0.6,29.0,2.0
Gratiot,36.5,69.8,2652,464,17.5,461,,0.0,0.0,0.0,0.0,,
Hillsdale,34.5,63.2,3153,791,25.1,768,16.0,,,7.0,0.9,23.0,2.9
Houghton,50.5,75.5,2418,592,24.5,577,,,,,,15.0,2.5
Huron,28.9,68.9,1840,338,18.4,333,,0.0,,,,,
Ingham,23.9,68.2,19732,4741,24.0,4616,61.0,,,64.0,1.3,125.0,2.6
Ionia,33.2,63.0,4806,830,17.3,801,18.0,,,11.0,1.3,29.0,3.5
Iosco,17.7,65.6,1232,253,20.5,243,,,,,,10.0,4.0
Iron,43.3,72.1,603,108,17.9,107,,0.0,0.0,0.0,0.0,,
Isabella,16.1,48.2,4123,623,15.1,616,,,0.0,,,7.0,1.1
Jackson,30.2,67.9,11225,2941,26.2,2790,103.0,,,48.0,1.6,151.0,5.1
Kalamazoo,22.0,62.6,18545,3383,18.2,3268,80.0,,,35.0,1.0,115.0,3.4
Kalkaska,11.2,49.3,1136,183,16.1,182,0.0,,0.0,,,,
Kent,23.1,59.2,53229,9780,18.4,9170,460.0,131.0,19.0,150.0,1.5,610.0,6.2
Keweenaw,44.5,77.6,108,23,21.3,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,11.3,52.6,555,115,20.7,114,,0.0,0.0,0.0,0.0,,
Lapeer,19.6,52.9,5481,847,15.5,825,,0.0,,,,22.0,2.6
Leelanau,16.0,46.5,1043,237,22.7,230,,,0.0,,,7.0,3.0
Lenawee,30.9,67.2,6641,1044,15.7,940,79.0,,,25.0,2.4,104.0,10.0
Livingston,11.4,39.0,11768,1048,8.9,1039,,,0.0,,,9.0,0.9
Luce,24.8,64.3,368,84,22.8,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mackinac,23.6,58.6,534,127,23.8,126,0.0,,0.0,,,,
Macomb,9.1,59.1,56493,10430,18.5,10316,80.0,,,34.0,0.3,114.0,1.1
Manistee,27.4,63.9,1308,287,21.9,280,,0.0,,,,7.0,2.4
Marquette,29.0,69.4,4159,435,10.5,423,,,0.0,,,12.0,2.8
Mason,27.4,64.6,1915,447,23.3,418,,,0.0,,,29.0,6.5
Mecosta,17.6,53.4,2519,278,11.0,276,,0.0,0.0,0.0,0.0,,
Menominee,31.1,73.2,1383,254,18.4,241,,,,,,13.0,5.1
Midland,14.2,58.7,5411,493,9.1,486,,,0.0,,,7.0,1.4
Missaukee,17.4,56.2,1082,119,11.0,117,,,0.0,,,,
Monroe,21.9,59.0,10703,1433,13.4,1416,11.0,,,6.0,0.4,17.0,1.2
Montcalm,25.0,57.7,4315,856,19.8,841,,,0.0,,,15.0,1.8
Montmorency,13.5,58.6,398,66,16.6,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muskegon,26.7,66.2,13332,2625,19.7,2513,56.0,46.0,10.0,56.0,2.1,112.0,4.3
Newaygo,17.9,53.6,3449,438,12.7,432,,,0.0,,,6.0,1.4
Oakland,14.1,60.5,82220,14806,18.0,14602,94.0,100.0,10.0,110.0,0.7,204.0,1.4
Oceana,23.9,57.8,2048,458,22.4,444,,,,6.0,1.3,14.0,3.1
Ogemaw,15.5,61.6,1329,176,13.2,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ontonagon,39.2,73.2,209,40,19.1,39,0.0,,0.0,,,,
Osceola,18.7,56.6,1698,271,16.0,268,,0.0,0.0,0.0,0.0,,
Oscoda,13.0,62.1,473,94,19.9,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otsego,11.2,50.3,1644,271,16.5,271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ottawa,14.8,45.3,20885,2815,13.5,2761,44.0,10.0,0.0,10.0,0.4,54.0,1.9
Presque Isle,22.0,66.3,622,91,14.6,90,,0.0,0.0,0.0,0.0,,
Roscommon,9.8,58.7,1080,190,17.6,189,,0.0,0.0,0.0,0.0,,
Saginaw,26.3,73.1,13953,3332,23.9,3227,85.0,,,20.0,0.6,105.0,3.2
Saint Clair,25.6,59.4,10573,2752,26.0,2633,106.0,,,13.0,0.5,119.0,4.3
Saint Joseph,24.2,65.1,4972,908,18.3,872,,,0.0,,,36.0,4.0
Sanilac,30.5,64.6,2726,373,13.7,360,,,0.0,,,13.0,3.5
Schoolcraft,26.8,63.3,494,89,18.0,88,,0.0,0.0,0.0,0.0,,
Shiawassee,30.4,68.2,4608,1324,28.7,1266,49.0,9.0,0.0,9.0,0.7,58.0,4.4
Tuscola,30.0,67.4,3415,791,23.2,785,,,0.0,,,6.0,0.8
Van Buren,22.7,58.1,5611,783,14.0,753,19.0,11.0,0.0,11.0,1.4,30.0,3.8
Washtenaw,16.8,56.5,22439,2903,12.9,2858,19.0,,,26.0,0.9,45.0,1.6
Wayne (excluding Detroit),21.7,74.5,81870,17998,22.0,17691,110.0,183.0,14.0,197.0,1.1,307.0,1.7
Wexford,21.4,53.7,2552,317,12.4,312,,,0.0,,,,
City of Detroit,57.9,93.2,58660,21548,36.7,19928,296.0,1187.0,137.0,1324.0,6.1,1620.0,7.5
MICHIGAN,23.4,64.8,701063,140857,20.1,136066,2296.0,2233.0,262.0,2495.0,1.8,4791.0,3.4
