Zip_Code,Pop_under_age_six,children_tested_n,Children_tested_percent,any_samples_n,any_samples_percent
48001,594.0,143.0,24.1,,
48002,184.0,16.0,8.7,0.0,0.0
48003,444.0,54.0,12.2,,
48005,231.0,25.0,10.8,0.0,0.0
48006,183.0,43.0,23.5,,
48009,1776.0,311.0,17.5,,
48014,377.0,74.0,19.6,,
48015,438.0,137.0,31.3,,
48017,695.0,149.0,21.4,0.0,0.0
48021,2121.0,545.0,25.7,12.0,2.2
48022,220.0,31.0,14.1,0.0,0.0
48023,207.0,49.0,23.7,,
48025,790.0,144.0,18.2,,
48026,885.0,165.0,18.6,,
48027,234.0,41.0,17.5,0.0,0.0
48028,28.0,,,0.0,0.0
48030,1309.0,285.0,21.8,7.0,2.5
48032,171.0,32.0,18.7,,
48033,931.0,317.0,34.0,,
48034,1082.0,258.0,23.8,,
48035,2760.0,442.0,16.0,6.0,1.4
48036,1481.0,286.0,19.3,,
48038,2458.0,409.0,16.6,,
48039,475.0,94.0,19.8,,
48040,645.0,108.0,16.7,,
48041,254.0,36.0,14.2,,
48042,2100.0,243.0,11.6,,
48043,751.0,192.0,25.6,8.0,4.2
48044,4808.0,519.0,10.8,,
48045,1084.0,205.0,18.9,0.0,0.0
48047,2840.0,383.0,13.5,,
48048,689.0,108.0,15.7,,
48049,327.0,53.0,16.2,0.0,0.0
48050,74.0,11.0,14.9,0.0,0.0
48051,1412.0,183.0,13.0,,
48054,302.0,55.0,18.2,0.0,0.0
48059,966.0,192.0,19.9,,
48060,3266.0,1290.0,39.5,83.0,6.4
48062,656.0,114.0,17.4,,
48063,221.0,45.0,20.4,,
48064,327.0,56.0,17.1,0.0,0.0
48065,561.0,87.0,15.5,,
48066,3554.0,658.0,18.5,6.0,0.9
48067,1421.0,296.0,20.8,,
48069,126.0,34.0,27.0,0.0,0.0
48070,496.0,82.0,16.5,0.0,0.0
48071,2132.0,492.0,23.1,7.0,1.4
48072,1184.0,205.0,17.3,,
48073,2047.0,417.0,20.4,,
48074,828.0,181.0,21.9,6.0,3.3
48075,1330.0,430.0,32.3,,
48076,1439.0,399.0,27.7,,
48079,611.0,130.0,21.3,,
48080,1366.0,241.0,17.6,,
48081,979.0,177.0,18.1,,
48082,1083.0,116.0,10.7,,
48083,1743.0,271.0,15.5,,
48084,1067.0,183.0,17.2,8.0,4.4
48085,1383.0,206.0,14.9,,
48088,1455.0,260.0,17.9,,
48089,2548.0,687.0,27.0,11.0,1.6
48091,2604.0,641.0,24.6,10.0,1.6
48092,1637.0,431.0,26.3,,
48093,1509.0,335.0,22.2,,
48094,1228.0,150.0,12.2,,
48095,306.0,44.0,14.4,0.0,0.0
48096,119.0,26.0,21.8,0.0,0.0
48097,312.0,90.0,28.8,,
48098,1068.0,137.0,12.8,0.0,0.0
48101,1576.0,362.0,23.0,,
48103,3312.0,370.0,11.2,,
48104,1271.0,138.0,10.9,,
48105,2214.0,161.0,7.3,,
48108,1730.0,267.0,15.4,,
48111,3078.0,559.0,18.2,,
48114,1153.0,90.0,7.8,0.0,0.0
48116,1578.0,115.0,7.3,,
48117,596.0,83.0,13.9,0.0,0.0
48118,797.0,88.0,11.0,,
48120,722.0,339.0,47.0,,
48122,938.0,328.0,35.0,,
48124,2120.0,381.0,18.0,,
48125,1713.0,365.0,21.3,,
48126,5466.0,1446.0,26.5,24.0,1.7
48127,3330.0,730.0,21.9,10.0,1.4
48128,1037.0,165.0,15.9,,
48130,1149.0,55.0,4.8,,
48131,401.0,65.0,16.2,0.0,0.0
48133,590.0,55.0,9.3,0.0,0.0
48134,1505.0,315.0,20.9,,
48135,2001.0,345.0,17.2,,
48137,287.0,30.0,10.5,0.0,0.0
48138,387.0,69.0,17.8,0.0,0.0
48140,100.0,28.0,28.0,0.0,0.0
48141,2601.0,708.0,27.2,11.0,1.6
48144,626.0,54.0,8.6,,
48145,237.0,21.0,8.9,,
48146,3273.0,1028.0,31.4,16.0,1.6
48150,1867.0,293.0,15.7,,
48152,1750.0,308.0,17.6,,
48154,1896.0,298.0,15.7,,
48157,100.0,13.0,13.0,0.0,0.0
48158,405.0,46.0,11.4,,
48159,180.0,28.0,15.6,,
48160,617.0,88.0,14.3,,
48161,1876.0,304.0,16.2,,
48162,2197.0,292.0,13.3,,
48164,458.0,90.0,19.7,0.0,0.0
48165,417.0,107.0,25.7,,
48166,1125.0,154.0,13.7,,
48167,1311.0,211.0,16.1,,
48168,1364.0,129.0,9.5,,
48169,1135.0,86.0,7.6,0.0,0.0
48170,2461.0,179.0,7.3,,
48173,818.0,141.0,17.2,,
48174,2435.0,638.0,26.2,6.0,0.9
48176,1146.0,108.0,9.4,0.0,0.0
48178,2292.0,266.0,11.6,,
48179,180.0,34.0,18.9,0.0,0.0
48180,5363.0,1458.0,27.2,17.0,1.2
48182,1588.0,194.0,12.2,,
48183,2663.0,524.0,19.7,7.0,1.3
48184,1155.0,273.0,23.6,0.0,0.0
48185,3554.0,741.0,20.8,8.0,1.1
48186,2305.0,525.0,22.8,,
48187,3333.0,436.0,13.1,,
48188,3597.0,426.0,11.8,11.0,2.6
48189,931.0,91.0,9.8,0.0,0.0
48191,374.0,34.0,9.1,,
48192,1441.0,357.0,24.8,,
48193,1227.0,238.0,19.4,,
48195,1568.0,459.0,29.3,,
48197,5012.0,794.0,15.8,12.0,1.5
48198,3545.0,647.0,18.3,8.0,1.2
48201,787.0,346.0,44.0,14.0,4.0
48202,734.0,382.0,52.0,53.0,13.9
48203,1814.0,703.0,38.8,87.0,12.4
48204,2542.0,800.0,31.5,119.0,14.9
48205,3302.0,1402.0,42.5,92.0,6.6
48206,1717.0,592.0,34.5,82.0,13.9
48207,1592.0,531.0,33.4,39.0,7.3
48208,831.0,308.0,37.1,22.0,7.1
48209,3705.0,1446.0,39.0,100.0,6.9
48210,4292.0,1517.0,35.3,128.0,8.4
48211,560.0,241.0,43.0,26.0,10.8
48212,4056.0,1405.0,34.6,103.0,7.3
48213,2310.0,716.0,31.0,90.0,12.6
48214,1350.0,558.0,41.3,96.0,17.2
48215,1107.0,370.0,33.4,47.0,12.7
48216,286.0,123.0,43.0,7.0,5.7
48217,373.0,180.0,48.3,9.0,5.0
48218,729.0,241.0,33.1,11.0,4.6
48219,3765.0,1336.0,35.5,39.0,2.9
48220,1671.0,298.0,17.8,7.0,2.3
48221,2723.0,942.0,34.6,63.0,6.7
48223,1933.0,736.0,38.1,23.0,3.1
48224,4186.0,1380.0,33.0,91.0,6.6
48225,970.0,243.0,25.1,,
48226,93.0,37.0,39.8,,
48227,3415.0,1313.0,38.4,74.0,5.6
48228,5338.0,1868.0,35.0,77.0,4.1
48229,895.0,241.0,26.9,9.0,3.7
48230,1153.0,180.0,15.6,10.0,5.6
48234,2554.0,1022.0,40.0,44.0,4.3
48235,3234.0,1303.0,40.3,70.0,5.4
48236,1905.0,286.0,15.0,6.0,2.1
48237,2259.0,588.0,26.0,8.0,1.4
48238,2527.0,1025.0,40.6,120.0,11.7
48239,3000.0,646.0,21.5,8.0,1.2
48240,1322.0,349.0,26.4,,
48243,,,,0.0,0.0
48301,1058.0,133.0,12.6,0.0,0.0
48302,611.0,121.0,19.8,,
48304,949.0,120.0,12.6,0.0,0.0
48306,1844.0,117.0,6.3,,
48307,3399.0,311.0,9.1,,
48309,1684.0,148.0,8.8,,
48310,2759.0,740.0,26.8,,
48312,1899.0,435.0,22.9,,
48313,1926.0,408.0,21.2,0.0,0.0
48314,1308.0,229.0,17.5,,
48315,1297.0,184.0,14.2,,
48316,1664.0,200.0,12.0,,
48317,1873.0,379.0,20.2,,
48320,307.0,57.0,18.6,,
48322,1750.0,287.0,16.4,,
48323,1033.0,135.0,13.1,0.0,0.0
48324,980.0,152.0,15.5,,
48326,1589.0,236.0,14.9,9.0,3.8
48327,1507.0,238.0,15.8,0.0,0.0
48328,1999.0,315.0,15.8,,
48329,1234.0,237.0,19.2,,
48331,1173.0,192.0,16.4,0.0,0.0
48334,910.0,227.0,24.9,,
48335,1532.0,470.0,30.7,28.0,6.0
48336,1733.0,361.0,20.8,7.0,1.9
48340,2603.0,753.0,28.9,6.0,0.8
48341,1251.0,320.0,25.6,15.0,4.7
48342,1840.0,566.0,30.8,16.0,2.8
48346,1440.0,191.0,13.3,,
48348,1469.0,255.0,17.4,0.0,0.0
48350,512.0,63.0,12.3,,
48353,491.0,36.0,7.3,,
48356,511.0,47.0,9.2,0.0,0.0
48357,622.0,41.0,6.6,0.0,0.0
48359,667.0,121.0,18.1,,
48360,839.0,84.0,10.0,0.0,0.0
48362,1205.0,126.0,10.5,,
48363,319.0,30.0,9.4,0.0,0.0
48367,220.0,22.0,10.0,,
48370,66.0,6.0,9.1,0.0,0.0
48371,1625.0,173.0,10.6,,
48374,1141.0,176.0,15.4,,
48375,1293.0,288.0,22.3,9.0,3.1
48377,1229.0,296.0,24.1,,
48380,317.0,27.0,8.5,0.0,0.0
48381,864.0,127.0,14.7,,
48382,1627.0,188.0,11.6,0.0,0.0
48383,829.0,125.0,15.1,0.0,0.0
48386,1079.0,134.0,12.4,,
48390,1445.0,249.0,17.2,,
48393,1365.0,265.0,19.4,,
48401,81.0,,,0.0,0.0
48412,395.0,54.0,13.7,,
48413,546.0,81.0,14.8,,
48414,268.0,30.0,11.2,0.0,0.0
48415,666.0,130.0,19.5,0.0,0.0
48416,348.0,59.0,17.0,,
48417,219.0,29.0,13.2,0.0,0.0
48418,287.0,44.0,15.3,,
48419,183.0,25.0,13.7,,
48420,1261.0,272.0,21.6,,
48421,366.0,66.0,18.0,,
48422,420.0,64.0,15.2,,
48423,1968.0,368.0,18.7,7.0,1.9
48426,56.0,,,0.0,0.0
48427,213.0,15.0,7.0,,
48428,206.0,31.0,15.0,0.0,0.0
48429,311.0,118.0,37.9,,
48430,2641.0,351.0,13.3,9.0,2.6
48432,62.0,,,0.0,0.0
48433,2049.0,312.0,15.2,,
48435,146.0,24.0,16.4,0.0,0.0
48436,200.0,38.0,19.0,,
48437,17.0,,,,
48438,370.0,54.0,14.6,0.0,0.0
48439,3103.0,533.0,17.2,,
48440,34.0,,,0.0,0.0
48441,250.0,40.0,16.0,0.0,0.0
48442,1383.0,214.0,15.5,,
48444,612.0,120.0,19.6,,
48445,85.0,21.0,24.7,0.0,0.0
48446,1814.0,308.0,17.0,8.0,2.6
48449,96.0,61.0,63.5,,
48450,141.0,26.0,18.4,,
48451,1096.0,138.0,12.6,,
48453,402.0,52.0,12.9,,
48454,94.0,12.0,12.8,,
48455,452.0,50.0,11.1,,
48456,45.0,9.0,20.0,0.0,0.0
48457,549.0,106.0,19.3,,
48458,1706.0,361.0,21.2,7.0,1.9
48460,181.0,42.0,23.2,0.0,0.0
48461,556.0,90.0,16.2,,
48462,609.0,121.0,19.9,0.0,0.0
48463,129.0,47.0,36.4,0.0,0.0
48464,230.0,17.0,7.4,0.0,0.0
48465,55.0,,,0.0,0.0
48466,107.0,16.0,15.0,0.0,0.0
48467,62.0,23.0,37.1,,
48468,34.0,,,0.0,0.0
48469,16.0,12.0,75.0,0.0,0.0
48470,13.0,,,0.0,0.0
48471,302.0,54.0,17.9,,
48472,213.0,17.0,8.0,,
48473,1385.0,297.0,21.4,,
48475,168.0,15.0,8.9,,
48502,20.0,15.0,75.0,,
48503,2295.0,637.0,27.8,36.0,5.7
48504,2711.0,701.0,25.9,28.0,4.0
48505,1776.0,596.0,33.6,16.0,2.7
48506,2426.0,600.0,24.7,18.0,3.0
48507,2915.0,836.0,28.7,13.0,1.6
48509,469.0,97.0,20.7,,
48519,512.0,108.0,21.1,,
48529,829.0,213.0,25.7,6.0,2.8
48532,1335.0,400.0,30.0,,
48601,3085.0,1105.0,35.8,41.0,3.7
48602,2543.0,684.0,26.9,35.0,5.1
48603,1458.0,370.0,25.4,10.0,2.7
48604,755.0,142.0,18.8,,
48607,67.0,25.0,37.3,,
48609,586.0,123.0,21.0,,
48610,124.0,41.0,33.1,0.0,0.0
48611,503.0,50.0,9.9,0.0,0.0
48612,549.0,115.0,20.9,,
48613,101.0,18.0,17.8,0.0,0.0
48614,73.0,13.0,17.8,,
48615,194.0,34.0,17.5,0.0,0.0
48616,649.0,95.0,14.6,,
48617,807.0,112.0,13.9,0.0,0.0
48618,344.0,33.0,9.6,,
48619,34.0,,,0.0,0.0
48621,45.0,17.0,37.8,0.0,0.0
48622,323.0,67.0,20.7,0.0,0.0
48623,837.0,110.0,13.1,0.0,0.0
48624,1007.0,180.0,17.9,,
48625,812.0,174.0,21.4,,
48626,288.0,55.0,19.1,,
48628,122.0,10.0,8.2,0.0,0.0
48629,373.0,68.0,18.2,0.0,0.0
48631,234.0,45.0,19.2,0.0,0.0
48632,228.0,69.0,30.3,0.0,0.0
48633,15.0,,,0.0,0.0
48634,393.0,44.0,11.2,0.0,0.0
48635,53.0,9.0,17.0,0.0,0.0
48636,24.0,9.0,37.5,0.0,0.0
48637,246.0,23.0,9.3,0.0,0.0
48638,1258.0,200.0,15.9,,
48640,1995.0,190.0,9.5,0.0,0.0
48642,2449.0,205.0,8.4,,
48647,283.0,57.0,20.1,0.0,0.0
48649,37.0,17.0,45.9,0.0,0.0
48650,387.0,68.0,17.6,,
48651,197.0,47.0,23.9,0.0,0.0
48652,58.0,10.0,17.2,,
48653,445.0,62.0,13.9,,
48654,159.0,15.0,9.4,0.0,0.0
48655,396.0,74.0,18.7,,
48656,133.0,29.0,21.8,0.0,0.0
48657,411.0,41.0,10.0,,
48658,255.0,73.0,28.6,,
48659,219.0,53.0,24.2,,
48661,725.0,79.0,10.9,0.0,0.0
48662,62.0,14.0,22.6,0.0,0.0
48701,57.0,21.0,36.8,0.0,0.0
48703,125.0,27.0,21.6,0.0,0.0
48705,22.0,,,0.0,0.0
48706,2474.0,537.0,21.7,18.0,3.4
48708,2189.0,458.0,20.9,36.0,7.9
48720,25.0,15.0,60.0,0.0,0.0
48721,,,,0.0,0.0
48722,308.0,40.0,13.0,0.0,0.0
48723,744.0,206.0,27.7,,
48725,89.0,17.0,19.1,0.0,0.0
48726,434.0,69.0,15.9,,
48727,95.0,13.0,13.7,0.0,0.0
48728,18.0,,,0.0,0.0
48729,68.0,21.0,30.9,0.0,0.0
48730,248.0,31.0,12.5,,
48731,137.0,27.0,19.7,0.0,0.0
48732,468.0,134.0,28.6,,
48733,76.0,30.0,39.5,,
48734,384.0,53.0,13.8,0.0,0.0
48735,31.0,8.0,25.8,,
48737,57.0,9.0,15.8,,
48738,61.0,10.0,16.4,0.0,0.0
48739,177.0,26.0,14.7,0.0,0.0
48740,84.0,9.0,10.7,,
48741,105.0,17.0,16.2,0.0,0.0
48742,46.0,7.0,15.2,,
48743,,,,0.0,0.0
48744,161.0,66.0,41.0,0.0,0.0
48745,83.0,7.0,8.4,0.0,0.0
48746,638.0,113.0,17.7,0.0,0.0
48747,65.0,16.0,24.6,0.0,0.0
48748,48.0,13.0,27.1,,
48749,65.0,23.0,35.4,0.0,0.0
48750,393.0,110.0,28.0,6.0,5.5
48754,58.0,14.0,24.1,0.0,0.0
48755,171.0,26.0,15.2,0.0,0.0
48756,262.0,50.0,19.1,0.0,0.0
48757,331.0,56.0,16.9,0.0,0.0
48759,175.0,45.0,25.7,,
48760,46.0,23.0,50.0,0.0,0.0
48761,12.0,,,0.0,0.0
48762,43.0,6.0,14.0,0.0,0.0
48763,289.0,52.0,18.0,0.0,0.0
48765,21.0,6.0,28.6,0.0,0.0
48766,65.0,16.0,24.6,0.0,0.0
48767,103.0,20.0,19.4,0.0,0.0
48768,651.0,142.0,21.8,,
48770,144.0,20.0,13.9,0.0,0.0
48801,977.0,173.0,17.7,,
48806,49.0,11.0,22.4,0.0,0.0
48807,68.0,10.0,14.7,0.0,0.0
48808,356.0,58.0,16.3,0.0,0.0
48809,722.0,191.0,26.5,9.0,4.7
48811,333.0,57.0,17.1,,
48813,1433.0,165.0,11.5,8.0,4.8
48815,157.0,21.0,13.4,0.0,0.0
48817,355.0,126.0,35.5,,
48818,172.0,37.0,21.5,,
48819,187.0,30.0,16.0,0.0,0.0
48820,1234.0,136.0,11.0,0.0,0.0
48821,416.0,25.0,6.0,0.0,0.0
48822,198.0,12.0,6.1,0.0,0.0
48823,2142.0,363.0,16.9,,
48824,,,,,
48825,,,,0.0,0.0
48827,1513.0,152.0,10.0,,
48829,222.0,53.0,23.9,,
48831,188.0,44.0,23.4,,
48832,98.0,13.0,13.3,0.0,0.0
48834,142.0,26.0,18.3,0.0,0.0
48835,190.0,16.0,8.4,0.0,0.0
48836,1265.0,121.0,9.6,,
48837,1291.0,121.0,9.4,,
48838,1469.0,252.0,17.2,,
48840,604.0,110.0,18.2,,
48841,69.0,11.0,15.9,0.0,0.0
48842,1605.0,293.0,18.3,,
48843,2887.0,276.0,9.6,0.0,0.0
48845,59.0,12.0,20.3,,
48846,1376.0,279.0,20.3,12.0,4.3
48847,302.0,58.0,19.2,0.0,0.0
48848,403.0,71.0,17.6,,
48849,440.0,65.0,14.8,0.0,0.0
48850,330.0,52.0,15.8,,
48851,293.0,36.0,12.3,0.0,0.0
48853,49.0,16.0,32.7,0.0,0.0
48854,1235.0,234.0,18.9,,
48855,994.0,83.0,8.4,0.0,0.0
48856,90.0,16.0,17.8,0.0,0.0
48857,199.0,25.0,12.6,,
48858,2632.0,417.0,15.8,,
48860,145.0,14.0,9.7,,
48861,192.0,11.0,5.7,,
48864,1369.0,153.0,11.2,,
48865,54.0,31.0,57.4,,
48866,306.0,75.0,24.5,,
48867,2014.0,710.0,35.3,38.0,5.4
48870,10.0,,,0.0,0.0
48871,142.0,12.0,8.5,0.0,0.0
48872,581.0,107.0,18.4,6.0,5.6
48873,89.0,,,0.0,0.0
48874,12.0,,,0.0,0.0
48875,847.0,113.0,13.3,,
48876,310.0,37.0,11.9,,
48877,131.0,31.0,23.7,0.0,0.0
48878,140.0,21.0,15.0,,
48879,1282.0,150.0,11.7,,
48880,583.0,99.0,17.0,,
48881,513.0,64.0,12.5,,
48883,403.0,61.0,15.1,0.0,0.0
48884,188.0,49.0,26.1,,
48885,52.0,13.0,25.0,0.0,0.0
48886,128.0,33.0,25.8,,
48888,445.0,98.0,22.0,,
48889,86.0,11.0,12.8,0.0,0.0
48890,200.0,23.0,11.5,,
48891,108.0,35.0,32.4,0.0,0.0
48892,409.0,88.0,21.5,0.0,0.0
48893,457.0,45.0,9.8,,
48894,172.0,18.0,10.5,0.0,0.0
48895,710.0,103.0,14.5,,
